27:0.229003,26:0.122926,5:0.109921,89:0.081875,73:0.034288,55:0.025081,14:0.013736,23:0.010850,88:0.009088,9:0.007979
10:0.027912,53:0.002898,92:0.001904,38:0.000468,35:0.000342,98:0.000300,6:0.000287,73:0.000254,21:0.000214,47:0.000209
88:0.002502,27:0.002403,14:0.001401,7:0.000752,15:0.000476,98:0.000416,30:0.000136,40:0.000117,68:0.000103,96:0.000055
5:0.028045,27:0.011287,38:0.003647,7:0.000953,21:0.000698,26:0.000413,14:0.000157,59:0.000095,95:0.000063,47:0.000062
38:0.052793,32:0.000346,68:0.000166,7:0.000088,15:0.000083,26:0.000046,14:0.000031,1:0.000029,58:0.000026,47:0.000024
97:0.006027,27:0.004519,33:0.004106,88:0.003263,73:0.003152,69:0.002890,44:0.002641,68:0.002548,8:0.001144,48:0.001140
24:0.001092,35:0.000229,32:0.000143,6:0.000059,17:0.000039,52:0.000022,7:0.000020,27:0.000020,95:0.000017,72:0.000017
6:0.002406,92:0.000988,15:0.000508,30:0.000474,98:0.000470,24:0.000455,93:0.000330,38:0.000312,58:0.000268,35:0.000245
88:0.021675,50:0.003570,27:0.002699,6:0.002664,62:0.000285,30:0.000223,72:0.000083,93:0.000068,26:0.000052,97:0.000039
26:0.042314,5:0.026016,27:0.007199,14:0.005961,38:0.002318,21:0.002260,47:0.000842,83:0.000805,25:0.000586,73:0.000374
40:0.000470,96:0.000147,57:0.000090,27:0.000089,68:0.000069,20:0.000051,33:0.000046,5:0.000029,38:0.000019,88:0.000018
93:0.009378,88:0.007568,72:0.004825,79:0.003814,29:0.002061,6:0.000780,59:0.000200,27:0.000169,22:0.000130,40:0.000112
92:0.114020,67:0.033183,73:0.005310,97:0.000809,88:0.000746,44:0.000725,20:0.000413,68:0.000397,93:0.000110,57:0.000100
27:0.091718,88:0.004524,59:0.003031,33:0.000990,73:0.000712,5:0.000416,68:0.000371,20:0.000301,35:0.000196,8:0.000162
50:0.002955,45:0.001631,26:0.001294,98:0.000455,88:0.000370,73:0.000326,62:0.000291,6:0.000214,38:0.000156,30:0.000130
38:0.002368,92:0.002282,6:0.000446,32:0.000290,15:0.000273,26:0.000179,10:0.000167,52:0.000163,58:0.000139,14:0.000128
27:0.021191,26:0.018942,40:0.008215,5:0.006224,38:0.003352,47:0.002820,88:0.002189,21:0.001631,7:0.001603,46:0.001360
55:0.036226,50:0.014587,88:0.005345,30:0.005340,26:0.005054,16:0.003859,83:0.002853,95:0.001729,33:0.001549,14:0.000833
88:0.006561,73:0.001741,62:0.001537,50:0.001441,6:0.000565,14:0.000323,26:0.000250,30:0.000217,38:0.000181,27:0.000136
19:0.021258,58:0.016621,32:0.011187,7:0.009629,45:0.006804,14:0.001503,26:0.001043,62:0.000914,15:0.000766,47:0.000616
74:0.001026,68:0.000668,27:0.000508,20:0.000475,30:0.000243,26:0.000178,8:0.000115,33:0.000095,14:0.000066,47:0.000065
55:0.127801,37:0.045654,50:0.021072,89:0.015772,73:0.005136,21:0.002458,26:0.002187,9:0.001773,47:0.001094,69:0.000271
38:0.017911,5:0.002519,21:0.001760,40:0.001750,98:0.001747,26:0.001671,7:0.001571,47:0.000830,88:0.000764,66:0.000761
32:0.001109,92:0.000587,7:0.000536,98:0.000479,58:0.000351,6:0.000280,26:0.000260,24:0.000201,73:0.000151,38:0.000131
15:0.001028,73:0.000776,7:0.000205,25:0.000196,32:0.000171,30:0.000139,58:0.000117,98:0.000109,38:0.000069,92:0.000050
88:0.008933,93:0.006278,35:0.001408,92:0.000496,21:0.000328,22:0.000291,57:0.000282,99:0.000215,29:0.000200,40:0.000184
72:0.014987,52:0.013224,93:0.008012,29:0.002134,99:0.000970,95:0.000880,86:0.000850,97:0.000782,77:0.000665,6:0.000554
38:0.000535,32:0.000377,68:0.000134,98:0.000088,7:0.000080,40:0.000069,47:0.000060,10:0.000040,33:0.000026,26:0.000021
27:0.036519,26:0.005872,21:0.002409,7:0.002264,47:0.001746,5:0.001626,14:0.001278,38:0.001170,73:0.000711,59:0.000377
38:0.000960,98:0.000621,68:0.000528,32:0.000423,47:0.000331,26:0.000192,7:0.000169,88:0.000070,92:0.000064,21:0.000061
73:0.003006,88:0.002634,68:0.000715,20:0.000652,33:0.000584,27:0.000448,7:0.000364,96:0.000357,10:0.000243,35:0.000144
15:0.001924,7:0.000820,38:0.000524,32:0.000172,53:0.000162,67:0.000064,27:0.000055,10:0.000035,98:0.000024,68:0.000019
92:0.002310,67:0.001285,88:0.000716,6:0.000676,62:0.000424,26:0.000413,98:0.000324,7:0.000301,73:0.000298,93:0.000296
27:0.186599,14:0.039165,83:0.037729,26:0.006160,5:0.004395,37:0.003463,55:0.002137,16:0.001956,73:0.001537,25:0.001526
45:0.026273,62:0.015549,19:0.015145,58:0.006069,15:0.004638,32:0.004316,7:0.001558,25:0.001454,52:0.000568,88:0.000367
97:0.022428,93:0.004078,88:0.003421,64:0.003147,10:0.001230,35:0.000763,72:0.000690,68:0.000615,44:0.000473,11:0.000351
79:0.068293,99:0.009638,72:0.008108,88:0.008091,93:0.007355,27:0.000711,29:0.000535,73:0.000388,97:0.000297,11:0.000272
37:0.021560,55:0.013825,73:0.012760,50:0.011152,89:0.003635,25:0.001430,9:0.001147,69:0.000909,21:0.000602,30:0.000555
7:0.025350,38:0.012220,27:0.005269,15:0.001381,92:0.001362,99:0.001046,6:0.001032,72:0.000599,96:0.000545,26:0.000273
88:0.001723,62:0.001587,92:0.001154,26:0.001106,73:0.001096,7:0.000914,50:0.000620,32:0.000315,30:0.000276,93:0.000224
88:0.006841,7:0.003959,26:0.001317,93:0.000881,98:0.000742,10:0.000718,27:0.000708,38:0.000631,62:0.000404,35:0.000382
26:0.094843,5:0.037612,21:0.017143,47:0.013744,83:0.012624,14:0.010136,27:0.009376,55:0.007053,7:0.006635,73:0.006625
20:0.002875,74:0.000426,26:0.000175,30:0.000128,14:0.000104,35:0.000070,68:0.000053,95:0.000050,33:0.000029,88:0.000028
68:0.002992,33:0.001101,74:0.000522,20:0.000412,54:0.000384,8:0.000155,43:0.000150,100:0.000132,65:0.000125,92:0.000093
88:0.004840,32:0.000915,92:0.000815,22:0.000732,98:0.000582,68:0.000555,58:0.000530,6:0.000325,35:0.000251,67:0.000242
26:0.052500,14:0.051136,83:0.028901,5:0.009079,27:0.004689,47:0.003004,38:0.001175,25:0.000472,55:0.000454,21:0.000397
5:0.013499,27:0.004606,21:0.002489,38:0.002207,26:0.001868,40:0.000878,14:0.000615,46:0.000471,47:0.000402,73:0.000328
15:0.003334,73:0.002097,89:0.000735,67:0.000390,38:0.000202,32:0.000191,7:0.000123,25:0.000092,37:0.000068,30:0.000058
92:0.002009,88:0.001368,20:0.000982,68:0.000803,27:0.000549,35:0.000351,98:0.000276,51:0.000220,33:0.000203,40:0.000135
26:0.011689,27:0.010438,14:0.007105,7:0.005254,24:0.003108,5:0.001366,32:0.001083,38:0.000463,59:0.000181,35:0.000169
92:0.075135,73:0.049309,67:0.001067,88:0.000347,68:0.000321,32:0.000216,72:0.000126,58:0.000121,33:0.000106,51:0.000092
32:0.000964,15:0.000305,96:0.000145,38:0.000039,14:0.000031,68:0.000020,83:0.000018,6:0.000017,40:0.000017,23:0.000017
99:0.005728,32:0.002632,6:0.001756,88:0.000614,38:0.000514,72:0.000377,97:0.000350,92:0.000343,35:0.000297,93:0.000288
92:0.025695,88:0.002742,35:0.001833,39:0.000834,7:0.000407,26:0.000376,40:0.000236,24:0.000227,10:0.000164,38:0.000130
26:0.003802,40:0.001171,24:0.000574,47:0.000573,92:0.000451,38:0.000348,32:0.000202,46:0.000100,73:0.000057,14:0.000053
26:0.000138,35:0.000077,92:0.000076,73:0.000060,88:0.000044,40:0.000034,98:0.000029,27:0.000029,7:0.000025,38:0.000025
7:0.007162,92:0.006496,88:0.006156,38:0.004367,93:0.004003,98:0.001172,10:0.001138,32:0.000873,35:0.000823,62:0.000626
74:0.016096,20:0.001976,88:0.001881,25:0.000880,68:0.000390,33:0.000263,30:0.000139,26:0.000103,50:0.000057,47:0.000049
23:0.000358,50:0.000121,55:0.000105,44:0.000083,14:0.000031,73:0.000030,27:0.000021,68:0.000019,5:0.000019,8:0.000016
