123:0.204658,97:0.048798,80:0.020938,0:0.010602,17:0.009392,106:0.009159,5:0.005518,33:0.003783,102:0.003155,96:0.001460
123:0.207055,97:0.050373,80:0.026239,106:0.020323,5:0.018622,0:0.015768,17:0.011134,33:0.007917,102:0.004500,88:0.003532

19:0.040316,87:0.036857,81:0.036728,34:0.011297,4:0.004658,148:0.003817,153:0.003365,63:0.002340,41:0.002200,9:0.001323

123:0.006868,82:0.003679,0:0.002397,153:0.001701,102:0.000853,33:0.000805,37:0.000744,5:0.000538,21:0.000471,88:0.000349
123:0.005849,0:0.003165,153:0.002867,82:0.002283,33:0.001171,5:0.001045,37:0.000927,102:0.000655,88:0.000454,21:0.000416
123:0.004538,82:0.002599,17:0.002371,0:0.002123,5:0.000946,37:0.000889,102:0.000812,33:0.000761,88:0.000568,21:0.000487

83:0.486190,33:0.026672,0:0.021679,41:0.011499,115:0.011179,113:0.007321,46:0.007226,9:0.007023,153:0.005916,118:0.005735

84:0.402648,153:0.002676,41:0.002600,115:0.001809,148:0.001279,83:0.001187,66:0.001157,155:0.000885,9:0.000850,102:0.000748

46:0.555494,41:0.337628,85:0.241257,0:0.146694,9:0.145592,3:0.141765,94:0.080195,155:0.073599,33:0.046193,16:0.041196
46:0.416548,41:0.237750,85:0.232866,0:0.126607,155:0.110048,3:0.104071,9:0.096159,94:0.081136,33:0.033563,16:0.028687

86:0.214582,134:0.030350,15:0.006171,99:0.005953,109:0.004332,153:0.002545,11:0.001829,135:0.001255,61:0.001041,151:0.000923

87:0.994822,81:0.728679,19:0.209452,41:0.100762,66:0.048705,34:0.035727,16:0.021614,63:0.014233,147:0.011881,46:0.005443

82:0.117573,88:0.053839,5:0.017452,0:0.014112,37:0.006430,93:0.004052,151:0.003567,85:0.003551,116:0.003253,41:0.002544

100:0.055254,21:0.047088,0:0.033205,82:0.026650,85:0.017375,33:0.012332,37:0.007210,17:0.005965,41:0.005587,102:0.005268

89:0.408628,135:0.085144,96:0.032733,35:0.007339,88:0.006229,83:0.005278,153:0.003907,5:0.003429,0:0.003077,148:0.003047
89:0.343517,135:0.057481,96:0.014987,88:0.003516,35:0.003505,83:0.003391,148:0.003062,153:0.002820,102:0.002684,0:0.002011

91:0.500150,123:0.045014,17:0.009521,33:0.008810,66:0.007813,83:0.005034,100:0.004517,96:0.004214,113:0.003047,41:0.001324

92:0.062423,95:0.001768,115:0.001037,153:0.000886,134:0.000604,4:0.000519,41:0.000394,151:0.000287,45:0.000144,34:0.000114

88:0.040258,33:0.026592,5:0.014528,0:0.008455,17:0.005616,41:0.004766,123:0.004200,66:0.002312,102:0.001917,82:0.001051

66:0.309483,45:0.273387,33:0.238531,118:0.205627,41:0.059834,83:0.024689,19:0.023426,9:0.019828,0:0.019410,115:0.009034

74:0.217717,99:0.199382,47:0.029360,130:0.016176,34:0.015652,134:0.010178,63:0.009284,19:0.005139,113:0.002575,151:0.001236

17:0.117864,33:0.058695,91:0.041524,123:0.034036,0:0.019343,127:0.017196,88:0.008815,66:0.006506,102:0.002761,118:0.001918

17:0.026478,5:0.008434,82:0.006737,153:0.004854,0:0.004582,37:0.004557,100:0.004125,21:0.004125,88:0.002484,33:0.001762

11:0.041275,113:0.023552,36:0.018831,96:0.008565,33:0.007200,66:0.004734,83:0.004541,3:0.003237,41:0.003137,102:0.002061

19:0.424875,34:0.307552,81:0.104169,87:0.058980,41:0.002637,4:0.001122,63:0.000753,9:0.000736,115:0.000477,46:0.000386

93:0.245323,57:0.100256,42:0.071848,151:0.021646,20:0.015781,106:0.004297,61:0.003642,82:0.003152,30:0.002876,85:0.002811

95:0.972596,94:0.541880,41:0.346451,33:0.262400,21:0.093140,155:0.085544,92:0.083452,16:0.073093,46:0.069155,105:0.063728

96:0.851819,11:0.005097,17:0.003451,97:0.001589,0:0.000666,82:0.000615,8:0.000608,88:0.000504,106:0.000382,61:0.000320
