79:0.947854,41:0.873324,20:0.798715,89:0.633350,47:0.456544,4:0.384064,18:0.246960,23:0.097538,86:0.093861,30:0.059212
34:0.377932,15:0.204928,6:0.037064,51:0.019796,39:0.015236,22:0.013236,40:0.009204,17:0.005013,3:0.003497,12:0.002863
70:0.215052,30:0.190468,88:0.122328,38:0.044870,83:0.026981,36:0.026250,4:0.022411,29:0.016480,41:0.014688,80:0.010348
108:0.658247,55:0.074482,22:0.062494,106:0.052946,87:0.035681,100:0.016282,45:0.014708,104:0.010416,102:0.007238,97:0.003835
66:0.804305,41:0.591744,11:0.503983,29:0.353818,73:0.325976,38:0.285614,80:0.138005,35:0.131454,54:0.078201,16:0.059346
85:0.898795,25:0.023472,98:0.021456,59:0.016520,90:0.013730,21:0.013049,101:0.002872,28:0.002517,69:0.001752,99:0.001682
34:0.129346,39:0.124642,15:0.098330,28:0.097401,23:0.057910,1:0.034450,22:0.020424,20:0.004727,35:0.004662,12:0.002643
80:0.733617,60:0.255321,24:0.173847,22:0.149111,47:0.114724,4:0.065021,108:0.039781,106:0.033585,55:0.032133,40:0.025539
19:0.709539,45:0.482062,100:0.371653,59:0.342651,74:0.195144,67:0.166916,55:0.150720,92:0.117070,40:0.116199,57:0.066984
61:0.410327,83:0.183014,52:0.064583,35:0.048320,0:0.042863,73:0.036613,18:0.024714,75:0.022587,4:0.018392,89:0.015594
36:0.092229,88:0.081066,81:0.057705,83:0.056600,102:0.036350,75:0.017596,19:0.013669,26:0.007275,100:0.006230,45:0.004834
4:0.679741,80:0.264138,78:0.250627,13:0.103946,55:0.097775,7:0.044637,47:0.038787,88:0.017118,38:0.014133,73:0.012315
98:0.772988,90:0.260282,39:0.221694,28:0.059266,15:0.025790,51:0.009687,21:0.006251,49:0.004241,85:0.004009,26:0.002020
11:0.350801,88:0.102336,38:0.077933,24:0.034170,4:0.017713,19:0.015807,45:0.005309,0:0.004949,7:0.004493,47:0.003349
42:0.653678,73:0.501332,91:0.207147,65:0.187805,47:0.158277,103:0.129793,48:0.062905,25:0.049520,58:0.041898,94:0.026551
39:0.840036,51:0.654717,1:0.246756,6:0.139858,34:0.125681,40:0.038492,12:0.026053,74:0.017512,22:0.006763,28:0.004575
4:0.136295,54:0.066790,29:0.053202,7:0.047280,50:0.011986,73:0.009839,38:0.007983,47:0.007129,13:0.004358,41:0.004223
34:0.965700,40:0.834315,35:0.132722,107:0.112843,74:0.109576,22:0.096709,45:0.090819,4:0.056289,37:0.054466,97:0.040829
79:0.793470,89:0.209034,83:0.154406,0:0.123712,73:0.059130,23:0.051467,9:0.045252,103:0.014505,35:0.008481,48:0.004450
8:0.250930,108:0.085821,88:0.065426,43:0.047735,45:0.047366,7:0.030646,99:0.027923,100:0.027826,38:0.021490,104:0.012033
0:0.635067,31:0.052221,35:0.040226,89:0.033552,23:0.007380,86:0.001915,6:0.001587,75:0.001371,4:0.001063,18:0.000462
98:0.929202,90:0.459678,5:0.058397,68:0.030588,101:0.029870,26:0.013157,102:0.012372,45:0.010389,12:0.008174,85:0.007354
40:0.887840,108:0.412080,55:0.094695,4:0.049734,3:0.042400,35:0.025630,34:0.022266,45:0.017006,7:0.016975,104:0.015212
86:0.702703,0:0.148608,94:0.119241,6:0.059818,35:0.048827,73:0.045521,48:0.037134,103:0.034507,9:0.021546,4:0.017568
99:0.734951,52:0.136357,7:0.110509,61:0.084329,38:0.075675,89:0.046583,47:0.023809,79:0.021045,18:0.017308,13:0.016389
76:0.088718,14:0.050497,5:0.045939,58:0.011733,83:0.004028,73:0.003660,47:0.002780,91:0.002276,103:0.002233,35:0.001369
90:0.500795,68:0.339136,98:0.333861,107:0.278159,22:0.087170,49:0.065967,102:0.058787,45:0.039677,108:0.038582,21:0.029426
92:0.209519,11:0.097395,8:0.083432,0:0.069153,41:0.065270,100:0.053894,29:0.034215,54:0.029402,4:0.024819,105:0.014438
71:0.048185,6:0.034769,12:0.027341,90:0.025178,101:0.021004,59:0.018096,39:0.006776,5:0.003490,98:0.003150,68:0.003054
41:0.870862,54:0.823599,4:0.523727,53:0.309397,47:0.074664,100:0.039296,38:0.027181,73:0.026169,80:0.023785,50:0.022854
70:0.792470,75:0.577784,2:0.394403,18:0.297571,83:0.187112,0:0.132409,41:0.061131,36:0.046053,32:0.032071,88:0.031459
74:0.039749,20:0.026569,97:0.021845,35:0.020419,37:0.010550,75:0.005017,17:0.002070,9:0.001234,16:0.000613,27:0.000586
46:0.092341,36:0.019058,83:0.015098,30:0.005857,18:0.001965,29:0.001423,2:0.000972,4:0.000970,67:0.000848,8:0.000690
106:0.782238,97:0.518231,100:0.318560,45:0.308546,69:0.128277,59:0.084591,108:0.080970,74:0.015873,21:0.009999,104:0.008054
17:0.773090,1:0.170436,15:0.098150,40:0.021260,6:0.018523,22:0.014167,4:0.003376,51:0.003264,39:0.002031,35:0.000628
4:0.591145,77:0.525589,22:0.070265,29:0.066115,9:0.043118,73:0.037510,17:0.031126,47:0.027741,23:0.020887,18:0.011090
70:0.539363,43:0.477565,83:0.307773,4:0.187136,30:0.175999,88:0.170000,19:0.111412,73:0.063051,2:0.058447,38:0.054525
74:0.342657,97:0.198018,40:0.136336,17:0.094529,45:0.064517,0:0.063528,75:0.062850,22:0.032314,31:0.031947,55:0.031657
41:0.142854,4:0.127167,67:0.102609,57:0.084910,19:0.057022,104:0.029877,45:0.027576,24:0.020335,54:0.017475,99:0.017114
15:0.533556,12:0.274225,6:0.127792,98:0.125928,90:0.041754,28:0.033709,74:0.028159,1:0.016512,51:0.010946,21:0.001993
22:0.961058,17:0.873215,74:0.167718,34:0.098424,37:0.095247,8:0.084172,15:0.078573,107:0.059692,97:0.042225,106:0.024483
54:0.867478,0:0.862606,29:0.835584,4:0.810348,38:0.230392,80:0.148701,61:0.126485,27:0.051830,50:0.034104,48:0.025225
14:0.918217,103:0.677763,73:0.221531,65:0.134002,91:0.035966,9:0.031909,68:0.028709,98:0.025360,47:0.023486,87:0.013707
70:0.476743,36:0.366602,19:0.101185,106:0.083827,2:0.061363,83:0.053627,88:0.040589,45:0.027410,4:0.023951,100:0.017518
94:0.331334,73:0.282415,66:0.222321,77:0.065999,4:0.055917,14:0.051060,78:0.045906,35:0.020085,65:0.010877,29:0.009694
106:0.819006,100:0.317327,59:0.234219,33:0.186417,8:0.169663,67:0.155810,57:0.154236,43:0.142283,74:0.132256,38:0.123351
88:0.103170,32:0.032277,13:0.010840,53:0.002971,70:0.002109,10:0.001551,36:0.000661,3:0.000621,63:0.000505,67:0.000172
0:0.550338,86:0.491846,73:0.446620,54:0.302754,7:0.274780,4:0.063145,35:0.052904,29:0.050474,94:0.048129,80:0.044232
73:0.357419,94:0.148941,41:0.133219,19:0.068457,29:0.038142,65:0.036292,23:0.030017,43:0.010181,4:0.006383,38:0.005284
108:0.789749,90:0.589607,68:0.563873,102:0.541463,87:0.438700,26:0.337082,98:0.333479,21:0.188582,55:0.146870,22:0.099581
41:0.132529,29:0.058315,73:0.023804,4:0.022996,0:0.022033,24:0.020409,38:0.015020,83:0.008594,61:0.006735,54:0.004340
15:0.564578,1:0.073778,39:0.067506,12:0.063832,98:0.009165,26:0.007653,22:0.007472,34:0.007414,28:0.005618,40:0.005551
61:0.696171,9:0.115314,24:0.078164,38:0.052303,68:0.022650,10:0.018772,13:0.018056,59:0.013640,4:0.011878,99:0.010131
29:0.614793,41:0.180770,0:0.139973,75:0.037905,4:0.037086,78:0.022503,73:0.021405,70:0.014427,35:0.012691,48:0.012082
41:0.819597,29:0.753421,47:0.218507,80:0.102804,4:0.079085,38:0.020063,106:0.016697,16:0.014296,100:0.009041,35:0.004707
64:0.679839,108:0.199025,3:0.163916,22:0.154141,87:0.083681,7:0.056390,100:0.039253,106:0.033439,45:0.031383,8:0.026206
3:0.002748,105:0.001900,59:0.001772,21:0.001696,68:0.001544,98:0.001523,10:0.000808,102:0.000633,45:0.000604,103:0.000533
38:0.477359,45:0.116044,8:0.085371,100:0.084400,36:0.081322,19:0.078258,4:0.022931,67:0.022483,55:0.021742,84:0.021318
83:0.709909,73:0.040212,94:0.014857,25:0.014691,50:0.005790,14:0.005714,18:0.005250,9:0.005242,65:0.004556,63:0.003919
45:0.557514,8:0.484006,100:0.378763,97:0.154109,106:0.146352,33:0.098214,19:0.037261,74:0.031240,68:0.026704,9:0.023585
55:0.074464,21:0.066122,102:0.062521,26:0.033113,108:0.032381,7:0.031897,40:0.030506,87:0.025508,107:0.024977,24:0.010230
52:0.575507,4:0.473501,41:0.432216,9:0.217956,70:0.108259,38:0.091731,24:0.067374,89:0.039128,18:0.022044,75:0.013427
101:0.989546,93:0.328782,21:0.210612,69:0.156320,98:0.068938,90:0.054155,108:0.016185,103:0.014639,97:0.014548,45:0.014444
46:0.003511,58:0.001178,73:0.001146,65:0.001099,103:0.000950,56:0.000843,48:0.000755,10:0.000575,83:0.000178,88:0.000140
55:0.916948,108:0.248026,3:0.169292,19:0.129522,87:0.106535,7:0.098152,22:0.070844,16:0.054824,47:0.036035,45:0.030847
94:0.829284,73:0.223499,14:0.076966,103:0.053787,48:0.039134,105:0.032556,43:0.010854,23:0.006753,4:0.001694,63:0.001017
4:0.936150,73:0.701732,41:0.367457,44:0.346989,29:0.079789,78:0.047434,36:0.039220,38:0.029984,11:0.023309,94:0.012779
38:0.488768,45:0.288594,8:0.119613,100:0.063104,19:0.057667,55:0.054359,4:0.023839,92:0.011151,105:0.007411,84:0.003821
108:0.284447,102:0.213578,98:0.212563,26:0.144169,22:0.136612,21:0.045374,87:0.041527,59:0.040962,52:0.032295,105:0.028707
33:0.200180,62:0.035616,101:0.020336,5:0.017804,97:0.016926,21:0.005774,98:0.004935,85:0.004858,14:0.003622,73:0.002847
75:0.951127,30:0.750515,36:0.408099,43:0.153215,88:0.131261,0:0.124229,10:0.104262,83:0.104146,41:0.095172,29:0.084535
9:0.032894,52:0.031845,81:0.029523,59:0.028712,28:0.011587,98:0.011069,5:0.007903,85:0.004924,56:0.002488,43:0.002468
